"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cabinteely, D.M.R. Eastern Division",84
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cabra, D.M.R. Western Division",65
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Caherciveen, Kerry Division",15
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Caherconlish, Limerick Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cahir, Tipperary Division",24
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Callan, Kilkenny/Carlow Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Campile, Wexford Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cappamore, Limerick Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cappawhite, Tipperary Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cappoquin, Waterford Division",13
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carbury, Kildare Division",9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carlingford, Louth Division",11
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carlow, Kilkenny/Carlow Division",124
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carna, Galway Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carndonagh, Donegal Division",27
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carnew, Wicklow Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carraig Airt, Donegal Division",16
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrickbyrne, Wexford Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrickmacross, Cavan/Monaghan Division",41
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrick-on-Bannow, Wexford Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrick-On-Shannon, Sligo/Leitrim Division",48
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrick-On-Suir, Tipperary Division",26
