Station,Division,name,lon,lat,"03 ,Attempts/threats to murder, assaults, harassments and related offences","04 ,Dangerous or negligent acts","05 ,Kidnapping and related offences","06 ,Robbery, extortion and hijacking offences","07 ,Burglary and related offences","08 ,Theft and related offences","09 ,Fraud, deception and related offences","10 ,Controlled drug offences","11 ,Weapons and Explosives Offences","12 ,Damage to property and to the environment","13 ,Public order and other social code offences","15 ,Offences against government, justice procedures and organisation of crime"
Duleek, Meath Division,Duleek,-6.418061,53.653865,11,7,0,5,54,82,4,7,2,35,12,2
Dun Fionnachaid, Donegal Division,Dunfanaghy,-7.9744350000000015,55.18292099999999,3,3,1,0,2,7,0,0,0,10,9,0
Dun Laoghaire, D.M.R. Eastern Division,Dun Laoghaire,-6.1333470000000005,53.289915,102,28,0,40,377,816,63,86,22,358,292,228
Dunboyne, Meath Division,Dunboyne,-6.477153,53.421092,39,13,0,3,61,220,15,11,1,48,29,1
Duncannon, Wexford Division,Duncannon,-6.929776,52.221401,3,8,0,0,12,18,1,3,0,7,3,3
Dundalk, Louth Division,Dundalk,-6.409665,53.999499,176,71,0,35,400,856,69,70,41,402,280,62
Dundrum, D.M.R. Eastern Division,Dundrum,-6.242572,53.28954399999999,82,49,0,33,585,1390,87,66,12,355,191,13
Dungarvan, Waterford Division,Dungarvan,-7.624475,52.087691,69,32,0,1,55,185,14,92,13,68,233,17
Dunlavin, Wicklow Division,Dunlavin,-6.7010710000000016,53.058777,5,0,0,0,21,21,0,0,0,4,3,0
Dunleer, Louth Division,Dunleer,-6.394568,53.828524,20,6,0,1,34,50,6,2,1,33,32,4
Dunmanway, Cork West Division,Dunmanway,-9.11014,51.722827,17,6,0,0,12,31,2,8,0,19,27,1
Dunmore East, Waterford Division,Dunmore East,-6.99287,52.14839,14,4,0,1,19,17,0,3,0,9,10,0
Dunmore, Galway Division,Dunmore,-8.74063,53.61755400000001,3,5,0,0,4,24,0,2,0,4,2,1
Dunshaughlin, Meath Division,Dunshaughlin,-6.539311,53.510761,38,13,0,2,55,107,6,3,2,36,21,1
Durrow, Laois/Offaly Division,Durrow,-7.396091,52.844258,4,3,0,0,20,21,2,1,0,5,4,1
Durrus, Cork West Division,Durrus,-9.523956,51.620542,1,4,0,0,3,6,0,3,0,2,0,0
Edenderry, Laois/Offaly Division,Edenderry,-7.060821000000002,53.336835,27,3,0,0,96,123,11,7,5,62,26,3
Edgeworthstown, Roscommon/Longford Division,Edgeworthstown,-7.6059899999999985,53.69557800000001,30,13,1,1,50,47,2,17,1,47,34,4
Elphin, Roscommon/Longford Division,Elphin,-8.192477,53.84582,5,1,0,1,5,4,1,0,0,2,2,0
Emly, Tipperary Division,Emly,-8.354184,52.465127,2,4,0,0,0,5,0,1,0,5,2,1
Emyvale, Cavan/Monaghan Division,Emyvale,-6.9575960000000014,54.339356,5,4,0,0,4,25,2,1,1,7,12,1
Enfield, Meath Division,Enfield,-6.833864,53.415111,3,8,0,1,17,25,2,1,3,11,11,0
Ennis, Clare Division,Ennis,-8.981120000000002,52.84681,114,78,1,14,166,461,30,219,37,168,408,143
Enniscorthy, Wexford Division,Enniscorthy,-6.5706820000000015,52.500739,54,35,0,8,169,247,14,32,8,170,92,24
Enniscrone, Sligo/Leitrim Division,Enniscrone,-9.088505,54.213846,13,10,0,0,22,31,1,3,0,15,9,1
Enniskerry, Wicklow Division,Enniskerry,-6.169531,53.191343,5,1,0,2,30,75,1,2,0,21,14,1
Ennistymon, Clare Division,Ennistymon,-9.288537,52.937394,20,26,0,0,12,46,1,14,0,27,70,7
Eyrecourt, Galway Division,Eyrecourt,-8.132368,53.199426,4,0,0,0,7,9,1,0,0,7,0,0
Farranfore, Kerry Division,Farranfore,-9.549686999999999,52.171391,9,5,0,0,6,7,3,4,2,2,3,0
Ferbane, Laois/Offaly Division,Ferbane,-7.827617999999998,53.270751,12,5,0,0,15,19,1,2,0,10,10,1
Fermoy, Cork North Division,Fermoy,-8.274164,52.138516,45,21,0,2,28,101,20,40,3,50,128,18
Ferns, Wexford Division,Ferns,-6.497766,52.59099499999999,2,0,0,0,19,34,1,1,0,14,10,1
Ferrybank, Waterford Division,Ferrybank,-7.101039,52.267457,20,20,0,1,48,73,8,15,0,31,13,3
Fethard, Tipperary Division,Fethard,-7.694428,52.466397,9,8,1,0,28,15,2,10,1,25,20,0
Finglas, D.M.R. Western Division,Finglas,-6.3069190000000015,53.389651,110,79,0,92,299,989,63,473,42,450,308,41
Fitzgibbon Street, D.M.R. North Central Division,Fitzgibbon Street,-6.255359,53.357735,136,28,0,82,269,864,45,272,39,288,214,12
Foxford, Mayo Division,Foxford,-9.108411,53.983287,5,5,0,0,10,15,0,3,0,5,12,0
Foynes, Limerick Division,Foynes,-9.10367,52.609730000000006,11,2,0,0,11,33,1,0,0,5,5,0
Frenchpark, Roscommon/Longford Division,Frenchpark,-8.407873,53.869536,2,0,0,1,12,11,2,6,0,5,0,1
Freshford, Kilkenny/Carlow Division,Freshford,-7.3944100000000015,52.73244,2,2,0,1,12,10,0,2,1,2,2,0
Gaillimh, Galway Division,Galway,-9.057489,53.271404,277,169,7,22,386,1188,138,344,27,349,1026,179
Garristown, D.M.R. Northern Division,Garristown,-6.383903,53.567052,5,0,0,1,13,32,0,2,0,9,2,0
Glanmire, Cork City Division,Glanmire,-8.396809,51.918419,25,14,0,0,32,112,13,27,1,50,45,6
Glantaine, Cork North Division,Glantane,-8.748764,52.104692,5,5,0,0,5,18,0,2,0,6,2,1
Glasson, Westmeath Division,Glassan,-7.864255,53.47135400000001,7,1,0,0,19,17,2,2,0,5,2,0
Gleann na Muaidhe, Mayo Division,Glenamaddy,-8.560181,53.607443,2,1,0,0,1,1,1,0,0,5,5,1
Glenamaddy, Galway Division,Glenamoy,-9.67877,54.240839,4,4,0,0,3,12,2,0,0,3,3,4
Glenbeigh, Kerry Division,Glenbeigh,-9.937063,52.057123,0,0,0,0,1,1,1,1,0,1,5,0
Glengarriff, Cork West Division,Glengarriff,-9.55071,51.750564,0,2,0,0,4,6,0,2,0,6,2,4
Glenmore, Kilkenny/Carlow Division,Glenmore,-7.028012,52.35384000000001,2,0,0,0,11,19,1,7,1,4,0,0
Glin, Limerick Division,Glin,-9.284509,52.569586,3,2,0,0,18,11,2,1,1,6,1,0
Glynn, Wexford Division,Glynn,-6.582891,52.372768,5,2,0,0,11,11,0,0,0,4,1,0
Golden, Tipperary Division,Golden,-7.984692999999999,52.496771,1,3,0,0,4,14,0,1,0,3,2,0
Goresbridge, Kilkenny/Carlow Division,Goresbridge,-6.994435,52.630035,1,3,0,0,14,25,2,19,0,17,7,0
Gorey, Wexford Division,Gorey,-6.29727,52.675046,53,35,0,11,141,234,15,40,4,86,111,43
Gort, Galway Division,Gort,-8.818184000000002,53.067434,17,13,0,1,24,59,13,11,2,20,35,2
Graiguenamanagh, Kilkenny/Carlow Division,Graiguenmana,-6.9567679999999985,52.542471,3,3,0,0,15,23,3,5,2,9,14,1
Granard, Roscommon/Longford Division,Granard,-7.494222,53.77855200000001,19,10,0,0,36,39,5,7,6,33,16,0
Grange, Sligo/Leitrim Division,Grange,-8.520745,54.393368,5,3,0,0,17,21,2,0,0,14,7,1
Greystones, Wicklow Division,Greystones,-6.063164,53.147964,40,12,0,7,139,371,29,32,6,104,62,15
Gurranabraher, Cork City Division,Gurranabraher,-8.496622,51.903493,139,37,0,7,58,203,16,137,29,296,253,42
Gurteen, Sligo/Leitrim Division,Gurteen,-8.515829,53.99296700000001,1,1,0,0,4,11,1,6,1,4,5,1
Hackballscross, Louth Division,Hackballscross,-6.524163,54.031641,2,1,0,0,11,17,1,0,0,16,2,4
Hacketstown, Kilkenny/Carlow Division,Hacketstown,-6.556978,52.86434200000001,4,0,0,0,5,5,1,1,0,2,2,2
Headford, Galway Division,Headford,-9.098307,53.470318000000006,7,10,0,0,33,30,2,2,0,13,10,0
Henry Street, Limerick Division,Henry Street,-8.631345,52.66164000000001,200,106,2,38,283,1622,66,280,72,414,969,420
Holycross, Tipperary Division,Holycross,-7.872911,52.642571,1,7,0,0,11,7,0,10,0,2,5,0
Hospital Co Limerick, Limerick Division,Hospital,-8.432453,52.475237,6,2,0,0,13,22,0,0,0,4,4,2
Howth, D.M.R. Northern Division,Howth,-6.069001,53.387287,22,23,2,19,208,274,11,21,3,98,49,12
Indreabhain, Galway Division,Inverin,-9.429568,53.240587,4,3,0,0,2,3,0,1,0,7,6,0
Innishannon, Cork West Division,Innishannon,-8.655438,51.764428,3,7,0,0,4,12,2,6,0,4,0,0
Irishtown, D.M.R. South Central Division,Irishtown,-6.22304,53.338063,35,9,1,19,258,565,38,68,19,140,164,15
Kanturk, Cork North Division,Kanturk,-8.912577000000002,52.17587,15,20,0,0,19,39,3,14,2,12,49,0
Keadue, Roscommon/Longford Division,Keadue,-8.137298,54.05064599999999,4,0,0,0,2,9,0,0,0,1,0,0
Kealkil, Cork West Division,Kealkill,-9.375316999999999,51.755046,2,1,0,0,3,1,0,8,0,4,2,0
Keel, Mayo Division,Keel,-10.082253,53.975372,4,0,0,0,1,1,1,1,1,5,1,0
Kells Ceanannus Mor, Meath Division,Kells,-6.881214999999999,53.728408,33,21,0,0,76,164,8,13,4,57,43,9
Kenagh, Roscommon/Longford Division,Keenagh,-7.815098,53.621951,1,3,0,0,4,13,1,2,1,1,1,3
Kenmare, Kerry Division,Kenmare,-9.581625,51.87850200000001,5,6,0,0,25,28,3,8,0,10,73,4
Kerrykeel, Donegal Division,,-7.666324,55.137138,5,1,0,0,5,12,2,3,1,8,8,0
Kevin Street, D.M.R. South Central Division,Kevin Street,-6.2702480000000005,53.338982,205,43,1,113,409,1151,81,158,31,306,345,17
Kilbeggan, Westmeath Division,Kilbeggan,-7.499184,53.36854399999999,7,3,0,0,18,46,3,0,0,10,5,2
Kilbrittain, Cork West Division,Kilbrittain,-8.690112,51.673531,3,4,0,0,4,5,5,1,0,9,0,0
Kilcock, Kildare Division,Kilcock,-6.672497,53.403846,18,18,0,1,34,122,6,14,4,33,29,22
Kilconnell, Galway Division,Kilconnell,-8.401656,53.331374,2,2,0,0,1,4,0,2,0,1,54,0
Kilcormac, Laois/Offaly Division,Kilcormac,-7.728836,53.176184,2,0,0,0,15,26,1,0,0,7,4,0
Kilcullen, Kildare Division,Killcullen,-6.7465720000000005,53.12914,11,10,0,3,62,81,19,6,0,40,19,3
Kildare, Kildare Division,Kildare,-6.907264,53.156035,42,16,0,6,81,164,22,40,6,70,88,5
Kildorrery, Cork North Division,Kildorrery,-8.429624,52.24543900000001,3,7,0,0,4,13,0,3,1,6,3,0
Kildysart, Clare Division,Kildysart,-9.105833,52.674604,2,0,0,0,1,5,1,2,0,4,3,1
Kilkee, Clare Division,Kilkee,-9.644718,52.682402,13,11,0,0,20,21,2,26,3,17,35,2
Kilkelly, Mayo Division,Kilkelly,-8.843456,53.87335600000001,2,2,0,0,6,12,0,1,0,3,6,2
Kilkenny, Kilkenny/Carlow Division,Kilkenny,-7.259722999999998,52.65244000000001,200,89,1,4,303,823,38,158,23,223,881,86
Kill, Waterford Division,Kill,-7.335097,52.177324,3,0,0,0,3,10,1,3,0,8,5,1
Killala, Mayo Division,Killala,-9.220514999999999,54.214104000000006,5,7,0,0,7,17,1,0,0,12,6,0
Killaloe, Clare Division,Killaloe,-8.443660000000001,52.806662,22,14,0,0,20,55,2,12,4,16,38,12
Killarney, Kerry Division,Killarney,-9.512388,52.062403,92,57,0,2,67,272,25,136,15,64,433,59
Killeagh, Cork North Division,Killeagh,-7.994963,51.939762,14,8,0,0,10,17,2,6,0,14,15,1
Killenaule, Tipperary Division,Killenaule,-7.672826,52.568519,6,1,0,0,12,29,0,11,4,12,8,1
Killeshandra, Cavan/Monaghan Division,Killeshandra,-7.525932000000001,54.011748,1,1,0,0,5,7,0,0,0,3,2,0
Killimor, Galway Division,Killimor,-8.294188,53.165886,4,2,0,0,8,13,0,0,0,3,2,0
Killorglin, Kerry Division,Killorglin,-9.787144,52.106496,32,12,0,2,20,53,4,11,6,12,43,21
Killucan, Westmeath Division,Killucan,-7.13967,53.514714,6,7,0,1,6,12,1,2,0,6,2,3
Kilmacow, Kilkenny/Carlow Division,Kilmacow,-7.174842,52.314568,0,4,0,1,6,9,0,1,0,2,2,0
Kilmacrennan, Donegal Division,Kilmacrennan,-7.778514,55.029495,10,14,0,0,3,14,1,1,2,4,9,0
Kilmacthomas, Waterford Division,Kilmacthomas,-7.421334,52.206191,6,5,0,1,2,19,1,4,1,9,3,0
Kilmaine, Mayo Division,Kilmaine,-9.123797,53.582596,1,0,0,0,6,7,0,0,0,2,6,0
Kilmainham, D.M.R. South Central Division,Kilmainham,-6.304273,53.341869,128,34,3,60,274,909,39,158,43,392,293,16
Kilmallock, Limerick Division,Kilmallock,-8.575769000000001,52.398381,19,6,0,0,33,49,2,1,4,35,22,19
Kilmeaden, Waterford Division,Kilmeaden,-7.245047,52.246247,2,5,0,1,5,19,0,1,0,8,1,2
Kilmoganny, Kilkenny/Carlow Division,Kilmoganny,-7.329283999999999,52.46092,3,1,0,0,12,9,0,1,0,7,0,0
Kilmore Quay, Wexford Division,Kilmore Quay,-6.58373,52.178668,11,3,0,1,22,33,1,7,2,18,10,5
Kilnaleck, Cavan/Monaghan Division,Kilnaleck,-7.317922999999999,53.85846700000001,9,7,0,0,11,18,1,4,0,8,8,0
Kilrickle, Galway Division,Kilrickle,-8.452731,53.23064300000001,4,3,0,0,2,4,1,1,0,2,5,0
Kilrush, Clare Division,Kilrush,-9.481077,52.641064,24,10,0,5,27,50,3,27,3,38,48,17
Kilsheelan, Tipperary Division,Kilsheelan,-7.579801,52.361522,0,0,0,0,14,6,1,5,1,4,3,0
Kiltimagh, Mayo Division,Kiltimagh,-9.005765,53.84605500000001,3,1,0,0,11,18,0,2,1,3,6,0
Kiltormer, Galway Division,Kiltormer,-8.271341,53.237577,1,1,0,0,2,1,0,0,0,1,0,0
Kilworth, Cork North Division,Kilworth,-8.249569000000001,52.176253,1,3,0,0,5,7,0,1,0,2,4,5
Kingscourt, Cavan/Monaghan Division,Kingscourt,-6.806759,53.904314,20,13,0,2,4,26,5,2,0,15,12,3
Kinlough, Sligo/Leitrim Division,Kinlough,-8.286956,54.445777,5,3,0,0,12,12,1,1,0,11,3,1
Kinnegad, Westmeath Division,Kinnegad,-7.102805,53.455927,14,16,0,4,8,48,7,8,2,18,18,1
Kinnitty, Laois/Offaly Division,Kinnity,-7.722148,53.098414,1,1,0,0,10,7,0,0,0,0,1,0
Kinsale, Cork West Division,Kinsale,-8.52548,51.706322,37,22,0,1,17,79,5,36,4,64,150,5
Kinvara, Galway Division,Kinvara,-8.939726,53.14046999999999,3,2,0,0,7,8,1,5,0,4,10,0
Knock, Mayo Division,Knock,-8.918831000000003,53.795363,0,1,0,0,14,8,1,4,0,6,5,1
Knocknagoshel, Kerry Division,Knocknagoshel,-9.385306,52.330666,2,2,0,0,3,2,1,1,0,6,16,12
Lanesboro, Roscommon/Longford Division,Lanesboro,-7.985285,53.671004,7,2,0,0,19,17,2,4,0,13,6,0
Laytown, Meath Division,Laytown,-6.244004,53.689197,62,22,0,8,132,372,15,23,4,102,54,1
Leach Seoirse, Galway Division,Loughgeorge,-8.931293999999998,53.35705600000001,16,30,0,0,36,32,5,11,1,11,7,10
Leamybrien, Waterford Division,Leamybrien,-7.521634,52.169328,4,6,0,0,7,14,1,2,0,4,4,0
Leitir Mor, Galway Division,Leitir Mor,-9.655064999999999,53.289412,2,1,0,0,2,2,0,0,0,2,2,0
Leixlip, Kildare Division,Leixlip,-6.49825,53.367378,27,9,0,5,64,190,14,29,2,81,44,9
Letterfrack, Galway Division,Letterfrack,-9.947676,53.55420400000001,3,6,0,0,1,7,0,2,0,5,1,0
Letterkenny, Donegal Division,Letterkenny,-7.736422,54.954697,265,64,0,9,130,429,36,59,16,211,449,57
Lifford, Donegal Division,Lifford,-7.480269,54.832829,19,6,0,0,14,20,7,4,0,20,12,0
Liscarroll, Cork North Division,Liscarroll,-8.806260999999997,52.259567,4,1,0,1,1,7,0,1,1,3,0,0
Lisdoonvarna, Clare Division,Lisdoonvarna,-9.289667,53.028625,9,5,0,0,4,14,0,3,0,2,15,0
Lismore, Waterford Division,Lismore,-7.935513,52.136673,11,3,0,0,15,19,4,5,0,14,8,2
Lissycasey, Clare Division,Lissycasey,-9.154411999999999,52.746056,4,4,0,0,4,8,0,4,0,1,7,2
Listowel, Kerry Division,Listowel,-9.483916,52.447132,37,27,0,0,25,109,4,35,6,28,164,13
Littleton, Tipperary Division,Littleton,-7.734927000000001,52.64070200000001,2,1,0,0,5,24,1,3,0,17,14,1
Lixnaw, Kerry Division,Lixnaw,-9.616641,52.404074,2,4,0,0,4,7,0,6,1,4,8,2
Longford, Roscommon/Longford Division,Longford,-7.80138,53.73251,71,47,2,3,93,224,31,82,8,96,147,44
Longwood, Meath Division,Longwood,-6.926959,53.454571,5,1,0,0,21,21,0,0,1,10,2,3
Lorrha, Tipperary Division,Lorrha,-8.122077,53.09366,0,0,0,0,1,6,0,0,1,3,0,0
Loughrea, Galway Division,Loughrea,-8.569948,53.197374,41,11,0,0,35,71,20,21,3,26,98,12
Louisburgh, Mayo Division,Louisburgh,-9.807597,53.764608,4,1,0,0,1,4,0,1,0,4,3,0
Louth, Louth Division,Louth,-6.5379190000000005,53.95239399999999,3,5,0,0,24,33,2,1,2,18,4,0
Lucan, D.M.R. Western Division,Lucan,-6.45068,53.35605200000001,76,48,3,18,283,655,46,88,31,210,183,10
Lusk, D.M.R. Northern Division,Lusk,-6.167335,53.523431,30,23,0,4,84,412,10,22,4,82,37,9
Macroom, Cork West Division,Macroom,-8.963996,51.906268,33,20,0,0,11,60,9,19,1,24,53,13
Maigh Cuilinn, Galway Division,Moycullen,-9.181167,53.33831,5,3,0,0,3,11,1,2,0,9,4,2
Malahide, D.M.R. Northern Division,Malahide,-6.151959,53.451162,27,17,1,10,242,318,24,20,1,96,55,4
Mallow, Cork North Division,Mallow,-8.64594,52.13877,78,50,3,2,42,192,27,43,10,72,213,45
Manorhamilton, Sligo/Leitrim Division,Manorhamilton,-8.178512,54.304359,14,8,0,1,29,46,5,6,1,23,9,3
Mayfield, Cork City Division,Mayfield,-8.429043,51.909732,47,38,1,9,39,165,10,57,4,147,104,11
Maynooth, Kildare Division,Maynooth,-6.5927,53.380813,41,27,0,5,99,336,23,21,2,88,96,3
Mayorstone Park, Limerick Division,Mayorstone,-8.644739999999999,52.673726,91,46,0,14,145,550,22,111,39,269,232,200
Midleton, Cork North Division,Midleton,-8.173525999999999,51.916681,46,44,0,0,28,128,18,66,3,44,150,31
Milford, Cork North Division,Milford,-8.856400000000002,52.342465,0,2,1,0,2,15,0,1,0,6,3,0
Milford, Donegal Division,Milford,-7.698108,55.08699,12,2,0,1,6,5,0,2,1,12,9,0
Millstreet, Cork West Division,Millstreet,-9.061531,52.060069,15,2,0,0,11,35,2,4,0,11,10,2
Milltown, Galway Division,Milltown,-8.897447,53.611605,1,5,0,0,4,7,0,0,0,2,2,0
Miltown Malbay, Clare Division,Miltown Malbay,-9.400594,52.857453,7,4,0,0,7,15,0,12,0,12,22,2
Mitchelstown, Cork North Division,Mitchelstown,-8.270567999999999,52.263585,17,25,0,0,34,74,10,140,1,28,45,3
Moate, Westmeath Division,Moate,-7.734526,53.395738,10,4,0,0,22,22,2,4,2,17,6,5
Mohill, Sligo/Leitrim Division,Mohill,-7.868075,53.92083100000001,16,15,0,1,20,22,2,2,2,18,10,5
Monaghan, Cavan/Monaghan Division,Monaghan,-6.967516000000002,54.25137,86,59,1,1,40,186,16,47,5,90,222,29
Monasterevin, Kildare Division,Monasterevin,-7.054709,53.138195,23,8,0,1,48,106,7,13,3,31,23,1
Moneygall, Tipperary Division,Moneygall,-7.95344,52.88129300000001,2,2,0,0,2,8,0,0,1,4,3,0
Monivea, Galway Division,Monivea,-8.702331,53.373986,1,1,0,0,4,3,0,2,0,2,2,1
Mooncoin, Kilkenny/Carlow Division,Mooncoin,-7.257333999999998,52.294707,8,2,0,0,13,19,0,5,1,5,9,0
Mountbellew, Galway Division,Mountbellew,-8.500103999999999,53.471162,5,9,0,0,10,16,3,4,0,5,11,2
Mountcharles, Donegal Division,Mountcharles,-8.195837,54.645993,2,3,0,0,2,2,0,1,0,7,4,0
Mountjoy, D.M.R. North Central Division,Mountjoy,-6.266825,53.360484,229,50,1,72,281,891,99,133,29,362,215,55
Mountmellick, Laois/Offaly Division,Mountmellick,-7.3351479999999984,53.11878100000001,41,7,0,1,51,81,10,12,4,65,34,2
Mountrath, Laois/Offaly Division,Mountrath,-7.478072,52.99815200000001,24,10,1,1,44,57,2,4,1,24,17,1
Moville, Donegal Division,Moville,-7.028567,55.19163199999999,8,3,0,0,9,12,1,0,0,9,11,0
Moylough, Galway Division,Moylough,-8.567016,53.487694,0,3,0,0,4,9,0,1,0,1,0,0
Moyne, Tipperary Division,Moyne,-7.714103999999999,52.734272,0,0,0,0,4,6,0,4,0,3,1,0
Muff, Donegal Division,Muff,-7.268756,55.068587,2,7,0,2,15,25,0,1,0,7,9,0
Muine Bheag, Kilkenny/Carlow Division,Muine Bheag,-6.9573589999999985,52.701304,13,5,0,1,24,49,3,7,1,18,20,2
Mullagh, Cavan/Monaghan Division,Mullagh,-6.943188,53.811139,4,5,0,0,5,13,0,0,0,6,4,1
Mullinahone, Tipperary Division,Mullinahone,-7.505575,52.510156,0,0,0,0,8,14,0,3,0,3,3,0
Mullinavat, Kilkenny/Carlow Division,Mullinavat,-7.172155,52.366384,1,0,0,0,4,10,0,3,0,6,1,0
Mullingar, Westmeath Division,Mullingar,-7.345952,53.525701,121,93,0,10,161,457,45,196,19,249,382,121
Multyfarnham, Westmeath Division,Multyfarnham,-7.392333,53.62423100000001,4,2,0,0,19,23,0,0,0,10,1,0
Murroe, Limerick Division,Murroe,-8.399188,52.64968100000001,4,2,0,0,13,18,1,5,0,6,3,2
Myshall, Kilkenny/Carlow Division,Myshall,-6.7784460000000015,52.68751999999999,5,0,0,0,9,20,0,0,0,2,0,0
Na Cealla Beaga, Donegal Division,Killybegs,-8.444392,54.636599,11,4,0,0,7,7,0,8,1,7,23,1
Naas, Kildare Division,Naas,-6.6660070000000005,53.210722,89,86,1,6,271,636,52,75,5,184,128,110
Navan, Meath Division,Navan,-6.690417999999998,53.65451700000001,89,79,2,19,230,757,26,95,25,223,292,120
Nenagh, Tipperary Division,Nenagh,-8.199582000000001,52.864279,34,39,0,4,56,173,18,88,1,43,114,25
New Ross, Wexford Division,New Ross,-6.9508,52.38756400000001,47,35,0,4,76,134,12,32,2,66,93,4
Newbridge, Kildare Division,Newbridge,-6.795531,53.181435,96,31,0,10,197,373,15,78,8,115,120,14
Newcastle West, Limerick Division,Newcastle West,-9.062395,52.453746,47,28,0,0,27,131,9,20,9,50,116,50
Newmarket on Fergus, Clare Division,Newmarket,-8.996980000000002,52.214576,5,4,0,0,2,24,2,6,1,11,7,5
Newmarket, Cork North Division,Newmarket-on-Fergus,-8.899113,52.763172,9,1,0,1,14,36,3,5,0,8,14,0
Newport, Mayo Division,Newport,-9.546619999999999,53.890184,5,2,0,0,5,12,1,2,2,7,5,2
Newport, Tipperary Division,Newport,-8.407173,52.70962,6,14,0,1,14,44,5,5,0,11,11,2
Newtowncunningham, Donegal Division,Newtowncunningham,-7.507791,54.997599,22,8,0,1,11,18,0,4,0,16,13,7
Newtownmountkennedy, Wicklow Division,Newtownmountkennedy,-6.10944,53.096895,16,3,0,3,34,83,8,15,2,36,20,3
Nobber, Meath Division,Nobber,-6.746639999999998,53.820954,9,9,0,1,29,30,3,4,0,6,4,3
Oldcastle, Meath Division,Oldcastle,-7.161933,53.769274,12,8,0,0,14,47,3,5,1,6,14,1
Omeath, Louth Division,Omeath,-6.256309,54.086532,4,0,0,1,11,17,0,5,0,15,5,1
Oola, Limerick Division,Oola,-8.259684,52.52999000000001,2,0,0,0,3,8,0,0,0,5,3,0
Oughterard, Galway Division,Oughterard,-9.324545,53.42735500000001,5,3,0,0,6,12,0,2,0,6,6,1
Oulart, Wexford Division,Oulart,-6.391333,52.503337,6,3,0,0,18,26,2,0,1,8,5,0
Oylegate, Wexford Division,Oylegate,-6.529615,52.424081,1,1,0,0,13,26,0,1,1,5,4,1
Pallasgreen, Limerick Division,Pallasgreen,-8.353081,52.54829,5,3,0,0,14,25,2,1,0,6,0,0
Pallaskenry, Limerick Division,Pallaskenry,-8.866541,52.64055,1,3,0,0,18,42,0,0,0,10,3,1
Partry, Mayo Division,Partry,-9.279587,53.69868100000001,4,3,0,0,5,9,0,0,0,3,3,0
Passage East, Waterford Division,Passage East,-6.972809,52.23918,1,5,0,1,7,13,0,0,2,0,4,0
Passage West, Cork City Division,Passagewest,-8.331746,51.865188,11,3,0,0,7,51,0,10,1,25,18,2
Patrickswell, Limerick Division,Patrickswell,-8.712941,52.595751,7,9,0,1,13,44,0,4,0,10,11,5
Pearse Street, D.M.R. South Central Division,Pearse Street,-6.2562690000000005,53.345702,520,52,2,179,531,5952,303,476,122,458,1967,107
Pettigo, Donegal Division,Pettigo,-7.834881,54.54823,5,0,0,0,5,7,0,2,0,2,1,0
Piltown, Kilkenny/Carlow Division,Pilltown,-7.325473,52.349824,3,8,0,0,23,17,0,4,0,5,3,0
Portarlington, Laois/Offaly Division,Portarlington,-7.1877960000000005,53.159159,51,17,0,2,107,165,10,20,2,57,40,2
Portlaoise, Laois/Offaly Division,Portlaoise,-7.303082000000002,53.03165,148,69,0,8,240,632,38,190,19,219,270,96
Portlaw, Waterford Division,Portlaw,-7.317612,52.286264,3,1,0,0,4,10,0,4,1,12,12,0
Portmagee, Kerry Division,Portmagee,-10.36178,51.885159,1,1,0,0,2,1,0,0,0,2,1,0
Portroe, Tipperary Division,Portroe,-8.353676,52.88190400000001,2,0,0,0,3,8,1,1,0,2,1,0
Portumna, Galway Division,Portumna,-8.22043,53.09001,12,5,0,0,15,32,1,4,1,11,15,4
Raheny, D.M.R. Northern Division,Raheny,-6.177986,53.378983,42,25,1,14,214,317,29,52,6,121,66,15
Ramelton, Donegal Division,Ramelton,-7.650725,55.036652,7,7,0,0,3,6,2,3,0,3,13,0
Raphoe, Donegal Division,Raphoe,-7.59437,54.8744,23,2,0,0,13,10,3,1,0,14,21,0
Rathangan, Kildare Division,Rathangan,-6.997539,53.222117,29,5,0,1,31,65,2,5,0,18,10,0
Rathcoole, D.M.R. Western Division,Rathcoole,-6.464709,53.281792,47,14,0,14,154,361,11,14,6,100,34,7
Rathcormac, Cork North Division,Rathcormack,-8.284331,52.076086,6,6,0,1,10,25,3,16,1,16,12,0
Rathdowney, Laois/Offaly Division,Rathdowney,-7.597836999999998,52.856712,3,3,0,0,19,32,3,1,0,5,7,1
Rathdrum, Wicklow Division,Rathdrum,-6.226505,52.93099599999999,11,2,0,1,23,81,5,11,2,32,20,1
Rathfarnham, D.M.R. Southern Division,Rathfarnham,-6.28815,53.297388,83,68,0,15,432,875,55,287,27,321,220,25
Rathgormack, Waterford Division,Rathgormack,-7.5037699999999985,52.307456,1,0,0,0,8,12,0,0,0,5,2,1
Rathkeale, Limerick Division,Rathkeale,-8.939033,52.52336800000001,20,15,0,0,22,17,1,3,1,26,47,18
Rathmines, D.M.R. Southern Division,Rathmines,-6.267004,53.32131700000001,87,20,1,19,309,769,49,143,15,208,136,5
Rathmore, Cork West Division,Rathmore,-9.214231,52.084275,4,7,0,0,15,19,3,5,0,9,1,0
Rathmullen, Donegal Division,Rathmullen,-7.532564,55.0958,6,2,0,0,2,5,0,0,0,4,1,0
Rathvilly, Kilkenny/Carlow Division,Rathvilly,-6.695366,52.88042900000001,2,0,0,0,14,8,0,0,0,3,4,0
